	TARGET-20-PAUVBS	TARGET-20-PAUVGD	TARGET-20-PAUVXU	TARGET-20-PAUWCF	TARGET-20-PAUXLK	TARGET-20-PAUXNM	TARGET-20-PAUYDT	TARGET-20-PAVAGA	TARGET-20-PAVFYL	TARGET-20-PAVLKB	TARGET-20-PAVLWY	TARGET-20-PAVPKA	TARGET-20-PAVSWX	TARGET-20-PAWCAW	TARGET-20-PAWFZT	TARGET-20-PAWTWW	TARGET-20-PAWXZJ	TARGET-20-PAWYTW	TARGET-20-PAXGVH	TARGET-20-PAXJVE
5S_rRNA	107	28	9	11	5	85	26	10	107	28	44	14	72	22	17	17	16	5	79	14
5_8S_rRNA	14	35	13	3	893	1	9	37	0	23	287	1	13	10	0	1	8	26	71	8
7SK	194	198	103	135	106	95	75	59	156	76	1027	117	286	78	43	43	58	34	112	67
A1BG	109	33	11	6	104	77	122	68	41	60	51	45	133	153	90	13	35	46	44	33
A1BG-AS1	312	288	120	35	427	240	543	663	95	215	283	182	359	649	115	75	199	197	94	102
A1CF	7	0	4	2	1	33	1	0	1	1	1	19	26	1	3	5	0	0	4	1
A2M	144	1372	515	1183	198	35	1000	812	358	119	416	1084	999	1267	47	822	153	223	120	298
A2M-AS1	55	512	214	426	56	0	178	137	35	50	203	348	323	393	14	232	35	44	12	67
A2ML1	8	182	29	11	19	15	78	24	27	8	6	7	43	69	7	2	9	14	9	9
A2ML1-AS1	3	66	33	43	2	47	31	32	2	34	7	30	58	84	69	6	32	49	18	39
A2ML1-AS2	2	3	1	1	0	0	0	3	2	2	3	2	2	2	1	0	0	2	2	0
A2MP1	135	212	40	151	10	1	35	49	4	18	49	249	151	189	9	72	8	13	20	15
A3GALT2	118	20	17	17	15	56	20	11	127	31	64	26	53	18	24	100	37	5	18	17
A4GALT	44	7	2	6	236	487	862	201	106	84	442	6	581	215	491	90	60	15	63	49
A4GNT	0	3	2	3	1	0	5	0	4	6	3	4	2	7	1	18	0	0	3	1
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	238	1185	1887	921	1001	122	1377	1717	241	458	1403	754	767	1497	390	324	978	699	927	656
AACS	4008	800	963	818	284	400	1556	512	702	240	820	844	667	755	998	371	1221	639	2884	562
AACSP1	3	0	1	9	0	0	1	0	4	1	4	0	7	0	2	0	0	2	152	0
AADAC	3	0	1	0	0	0	0	0	1	2	0	0	3	0	3	1	2	0	1	1
AADACL2	1	2	3	3	3	0	0	0	1	1	0	2	1	7	0	0	1	1	2	0
AADACL2-AS1	3	3	0	2	2	2	7	0	3	5	0	2	0	5	3	0	3	7	0	0
AADACL3	1	0	0	1	1	0	1	0	0	1	2	1	2	0	0	0	0	0	1	0
AADACL4	1	0	1	1	0	0	0	0	3	0	0	0	1	0	0	0	3	0	1	1
AADACP1	0	2	2	6	0	0	3	5	1	0	0	1	0	8	1	0	2	0	2	1
AADAT	0	0	0	5	5	37	2	0	6	49	12	0	1	3	246	2	328	132	130	126
AAGAB	1590	1848	1335	2042	1157	654	1268	757	1360	789	937	1591	1669	1813	1233	706	1373	843	1888	1210
AAK1	3880	7612	13620	9747	6852	5260	13567	8925	7427	4602	7697	16333	14961	7397	5062	5912	8422	10477	2587	5078
AAMDC	392	386	323	272	292	55	208	201	143	126	166	207	190	408	140	106	254	223	319	187
AAMP	1244	1729	2011	1615	1321	1441	1950	1637	1337	1205	1798	927	1539	2160	1003	412	2051	1420	1694	1166
AANAT	62	39	52	77	15	15	44	41	121	23	90	26	62	32	39	27	28	43	39	49
AAR2	1241	838	1205	924	848	458	811	445	746	323	1080	796	1631	1124	635	487	1465	459	1128	962
AARD	4	1	5	0	0	2	1	0	1	5	1	5	2	0	1	1	2	1	1	2
AARS1	226	1430	3975	2320	1672	183	2227	2069	555	344	1296	1084	1054	3645	537	318	2637	1320	2375	798
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	1390	1006	1749	907	1073	177	1421	3253	504	383	1344	956	1295	1612	417	370	1048	760	1163	491
AARSD1	100	89	128	81	156	39	79	64	66	120	47	125	80	161	114	57	45	79	147	68
AARSD1P1	17	4	15	4	9	1	15	4	3	3	8	0	9	18	3	2	8	4	29	13
AASDH	244	545	401	636	751	190	412	807	226	336	346	597	611	1326	183	294	501	815	443	257
AASDHPPT	475	669	792	1226	964	208	623	358	294	303	656	1420	1056	1803	624	401	590	380	746	288
AASS	7	15	10	21	5	27	57	68	446	9	56	122	48	5	5	30	12	45	1183	5
AATBC	2005	665	1428	1976	339	436	2008	1232	281	565	1228	254	1033	326	460	134	1447	896	286	1490
AATF	1540	2534	1741	2346	1768	578	1815	1291	1160	1083	2462	1751	2089	2300	735	1400	2154	1014	1121	1800
AATK	1885	223	56	350	68	230	1009	1961	1941	813	10879	831	731	247	679	3027	532	136	235	490
ABALON	612	557	629	506	819	970	1502	1619	1490	692	4028	851	3723	1065	630	926	1166	156	1087	737
ABAT	1234	567	1022	1287	458	112	1005	950	222	390	1374	1624	641	635	208	757	677	397	255	598
ABBA01000933.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01000935.2	0	1	0	0	1	0	0	0	0	0	7	0	4	1	0	0	0	0	0	1
ABBA01006766.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	581	7065	2683	2030	1923	5252	1736	4129	26220	2219	4990	5792	21022	1181	13828	4358	3403	18484	3152	2522
ABCA10	243	14	15	32	9	0	42	43	63	6	43	131	99	5	11	79	2	28	44	17
ABCA11P	31	1	11	11	24	0	6	0	4	2	2	20	10	2	0	1	1	5	36	1
ABCA12	21	5	41	11	26	27	17	3	10	12	0	0	3	25	2	7	11	4	12	3
ABCA13	125	790	84	1451	3554	14	7729	9492	2340	6685	34232	41	409	2606	6075	39361	5499	133	189	473
ABCA17P	61	10	7	10	11	1	18	6	28	7	9	10	22	10	4	2	7	3	8	4
ABCA2	12929	2874	2726	1343	3694	1275	3511	16548	3306	980	9195	2393	8459	4728	2204	2947	1657	3280	9403	1605
ABCA3	170	45	254	71	201	34	146	349	72	34	418	187	162	144	75	56	136	47	156	42
ABCA4	3	0	8	1	6	0	13	14	1	8	25	1	5	1	0	5	0	0	3	1
ABCA5	1714	173	202	623	146	24	1046	353	1761	277	1190	2699	1657	70	498	1824	50	128	1635	136
ABCA6	192	51	5	41	20	48	50	190	13	8	39	23	227	19	2	19	9	210	11	26
ABCA7	10329	1966	8934	2210	2011	508	10997	16661	2499	1555	27470	8779	3691	2695	1678	4140	2296	4389	1770	2269
ABCA8	7	1	2	3	13	38	48	34	1	2	7	3	13	0	2	3	2	37	5	1
ABCA9	167	60	6	32	11	22	42	201	7	34	37	7	129	9	4	11	24	281	4	38
ABCA9-AS1	32	14	6	7	4	11	7	51	0	6	12	3	22	4	1	3	5	61	0	8
ABCB1	246	11	37	131	863	1687	40	63	1075	815	207	347	2268	55	1391	123	374	113	47	450
ABCB10	1211	1287	4896	2036	2000	791	4500	2540	798	1355	4353	2255	2275	2551	1650	2674	1876	1518	1816	1718
ABCB10P1	1152	3	3	114	3	0	1	0	1	0	13	0	2	0	2	1	0	1	5	0
ABCB10P3	196	1	3	27	1	0	1	0	1	0	5	0	0	1	1	0	0	0	1	1
ABCB10P4	178	0	4	83	2	0	1	0	2	0	16	1	3	0	0	1	0	1	0	0
ABCB11	8	11	8	16	6	29	14	47	4	17	15	23	5	4	7	26	6	10	9	3
ABCB4	13	18	149	71	24	44	47	29	34	34	58	59	79	32	58	26	34	44	10	73
ABCB5	3	3	1	0	3	24	8	1	3	5	17	0	51	1	9	3	2	3	3	2
ABCB6	56	5	23	9	4	112	47	45	53	55	120	32	108	15	39	58	21	9	17	12
ABCB7	420	1940	1063	1879	1486	1024	1278	1059	664	1217	887	1023	1394	2053	1672	659	1701	1399	1283	1200
ABCB8	574	810	2387	842	635	182	1353	1669	279	271	1420	963	802	1039	197	371	1008	716	486	686
ABCB9	793	1180	1156	822	1187	476	1309	2256	532	566	1506	796	1015	1295	529	410	784	772	1262	672
ABCC1	8060	14036	4637	4600	7969	10751	5218	14009	8402	8387	8849	8776	14061	16957	5645	2367	9473	11913	13964	6930
ABCC10	1348	1401	3514	1393	1500	310	2178	6409	541	679	3033	2020	1227	1569	494	709	1526	1265	1003	957
ABCC11	199	214	210	230	230	61	308	907	165	155	545	229	293	207	264	143	275	360	209	266
ABCC12	1	0	2	1	0	7	0	2	0	1	18	4	35	1	0	1	3	0	2	1
ABCC13	2	4	8	88	12	31	42	96	36	13	147	3	57	1	8	52	12	4	2	11
ABCC2	1008	131	256	151	161	100	90	441	103	187	192	325	321	167	101	191	139	293	80	123
ABCC3	30	41	74	179	9	29	886	156	185	14	500	166	276	35	17	77	369	473	20	90
ABCC4	888	1692	614	966	1722	2048	2941	2171	367	1046	880	968	1749	4425	678	413	3296	3907	873	2427
ABCC5	108	1398	2732	1024	2769	294	3038	6019	309	1264	3686	2234	823	2760	1439	1383	1343	1395	602	668
ABCC5-AS1	0	6	3	4	10	18	12	14	1	9	5	19	6	12	24	11	4	4	1	1
ABCC6	299	158	181	472	55	921	495	1738	446	561	1306	348	240	131	644	196	245	796	567	239
ABCC6P1	85	2	3	1	2	0	10	2	1	3	47	0	6	0	2	5	0	5	0	2
ABCC6P2	1	0	0	2	0	0	2	0	1	0	1	0	0	0	0	0	0	0	3	0
ABCC8	11	1	3	3	3	31	8	4	5	4	3	0	3	0	4	2	6	5	8	4
ABCC9	0	20	3	3	174	8	110	218	5	0	4	1	5	0	0	1	1	43	6	0
ABCD1	2125	937	3459	1256	358	258	1733	1742	571	717	3852	1041	1320	533	541	656	1133	1275	380	1092
ABCD1P2	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2
ABCD1P3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ABCD1P4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	344	6	67	186	18	9	16	95	32	18	132	1266	149	21	6	49	17	28	5	15
ABCD3	415	985	946	1224	543	278	979	612	833	716	1103	1382	938	1782	2054	913	1424	1280	1872	754
ABCD4	1504	2787	2190	1405	2458	981	1508	2757	1544	1381	1383	1217	2150	2242	3080	644	1946	2507	3816	1131
ABCE1	1374	4251	2292	4928	3052	1517	2238	1244	919	1750	1285	3988	3826	6642	1684	1006	3342	2156	1712	1605
ABCF1	1642	2462	3125	4080	2059	4025	2299	2633	3186	4266	4349	3780	4718	2241	1805	1622	4185	1833	2763	3079
ABCF2	187	356	554	349	200	102	428	209	117	107	379	318	339	508	62	113	428	110	234	197
ABCF2-H2BE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P1	0	5	1	2	0	0	0	1	0	1	9	0	4	3	0	0	0	0	3	1
ABCF2P2	5	0	0	0	0	0	24	1	0	4	0	1	0	0	0	0	17	1	46	8
ABCF3	2252	1407	2262	1946	1098	3852	1764	2651	2049	2674	3287	2780	2769	1730	1753	1736	2171	1581	1368	2474
ABCG1	840	1589	82	481	678	1582	165	505	5268	635	2028	1943	5826	999	1834	936	721	1353	493	662
ABCG2	25	16	3	28	39	58	151	161	60	70	250	48	199	15	68	67	46	19	11	30
ABCG4	40	4	7	2	0	2	1	1	13	6	7	7	15	0	7	3	3	6	22	4
ABCG5	2	1	3	1	3	13	2	0	1	2	11	1	2	9	5	1	2	0	3	1
ABCG8	68	45	39	18	14	73	29	5	30	35	15	18	32	35	15	5	23	14	48	7
ABHD1	175	122	147	122	41	17	183	87	65	67	192	127	159	148	94	71	67	49	100	23
ABHD10	928	697	534	748	1152	104	521	274	333	456	352	1070	649	1652	856	406	621	717	868	337
ABHD11	336	151	802	245	131	68	378	268	126	62	451	210	160	242	158	102	120	138	293	142
ABHD11-AS1	91	17	71	32	10	52	38	16	24	20	57	24	31	17	23	14	16	18	36	18
ABHD12	2337	1908	1854	1690	756	1014	1878	1241	1527	539	1468	956	3814	1775	944	502	1424	1472	1688	1636
ABHD12B	2026	243	229	277	164	76	184	43	149	806	773	402	87	307	525	417	174	61	55	197
ABHD13	564	1021	780	2178	712	754	1078	535	1369	1166	1174	2649	2508	1239	1577	2155	1234	512	568	1207
ABHD14A	208	361	383	221	203	90	421	110	160	112	391	190	458	445	163	70	215	94	166	204
ABHD14A-ACY1	6	2	2	4	2	9	0	2	1	0	2	1	0	0	2	1	0	1	2	2
ABHD14B	599	1794	1318	1189	1025	380	1641	223	652	668	978	1152	1811	1776	698	408	959	273	637	951
ABHD15	2053	1275	2668	1206	431	239	1852	1015	164	111	1257	1061	920	1396	285	178	1332	948	230	746
ABHD15-AS1	57	37	97	41	20	11	50	26	21	7	24	61	35	52	23	15	41	49	15	24
ABHD16A	160	193	121	274	135	170	244	149	252	393	289	420	316	163	306	360	272	185	97	393
ABHD16B	51	237	350	185	279	17	860	1236	111	157	924	160	277	391	139	88	223	191	83	117
ABHD17A	3554	1601	4549	2074	1385	708	3965	1927	3352	2165	8828	3617	8107	1785	2266	2247	1841	1547	2501	1895
ABHD17AP1	346	43	94	55	52	2	83	86	40	38	188	45	180	38	66	37	36	44	110	65
ABHD17AP3	14	34	97	11	17	10	178	36	37	25	113	12	28	35	22	37	51	8	48	23
ABHD17AP4	58	0	4	9	4	30	34	10	5	2	73	3	17	18	15	17	1	3	7	3
ABHD17AP5	48	1	23	40	20	21	126	93	17	13	184	0	76	77	33	71	8	0	12	7
ABHD17AP6	9	4	627	2	1	2	11	12	1	1	84	6	45	5	0	6	0	2	2	1
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABHD17AP9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABHD17B	2256	3454	930	1438	2320	2345	1549	845	656	1359	613	818	2047	2763	1835	512	1512	1025	1901	697
ABHD17C	257	376	65	48	26	447	218	142	104	597	191	120	2534	467	646	186	1043	567	55	346
ABHD18	352	978	995	1445	1234	207	1032	1625	297	546	983	1964	725	2073	517	572	801	1030	653	631
ABHD2	10840	22936	11217	12231	7359	4418	18871	4583	20438	11839	20038	22531	28958	20137	11903	15536	13861	6459	4905	8263
ABHD3	362	1386	1226	1578	1856	1092	927	1987	684	655	1077	1866	908	1953	1515	765	1711	1296	329	1099
ABHD4	236	775	332	430	2741	503	575	487	1684	1214	1677	756	1589	1828	972	1297	1069	1228	7558	1006
ABHD5	402	561	654	2400	2218	2146	3223	4361	2728	4620	5354	2636	2295	1330	4615	9134	2410	667	863	1147
ABHD6	1286	153	215	101	36	25	153	251	42	22	123	103	267	86	79	34	94	123	8	76
ABHD8	576	310	695	416	239	187	741	596	286	271	1216	329	344	398	344	290	577	375	196	390
ABI1	2263	4458	2563	5342	4500	9312	2838	2943	3936	7116	4718	5725	8339	4380	5533	4982	4149	3514	2395	4107
ABI1P1	2	10	5	7	6	0	0	0	0	4	3	1	2	12	4	0	1	2	1	1
ABI2	529	711	305	650	77	862	1094	500	1061	337	757	2150	2484	1156	1068	334	2804	1449	3593	1202
ABI3	824	91	247	1021	51	0	157	435	302	34	982	402	1363	63	41	193	337	146	56	271
ABI3BP	181	90	30	210	11	277	90	10	101	216	86	179	226	103	138	287	93	20	116	112
ABITRAM	61	331	287	395	202	105	352	64	147	64	444	475	635	552	81	252	387	162	266	197
ABITRAMP1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
ABL1	6449	4187	4950	2819	3418	2609	3563	4239	2387	1523	3819	1989	8017	4140	1618	1140	4186	2651	5842	2190
ABL2	686	3459	2155	2009	2218	2375	1842	1567	1702	1159	1478	2362	4546	4503	1412	557	2963	2722	4198	1236
ABLIM1	1073	1725	663	1495	421	1205	499	368	5211	1464	4670	17480	11026	3744	695	978	1854	897	953	1272
ABLIM2	15	6	9	10	2	12	10	26	4	5	22	53	14	2	3	5	8	7	2	12
ABLIM3	1	12	24	7	2	2	185	64	33	5	192	3	109	2	6	53	7	19	14	4
ABO	19	8	76	31	1473	152	782	1704	338	5	26	362	72	2726	274	50	102	92	421	146
ABR	6996	2912	10214	7951	852	225	8521	13716	3170	1579	16122	6203	9804	3784	1059	3994	3249	4462	1126	3118
ABRA	105	51	32	18	0	16	29	2	21	45	23	61	27	55	33	11	18	4	3	12
ABRACL	161	2077	578	969	658	276	640	154	270	283	617	827	841	1653	235	347	950	378	414	453
ABRAXAS1	476	1227	881	1939	1801	484	754	255	375	912	734	2034	1084	1807	888	582	1293	718	880	935
ABRAXAS2	458	856	632	879	1063	249	766	340	476	307	548	892	1532	1442	750	513	805	899	549	421
ABT1	1509	1216	961	816	623	528	991	278	795	665	1081	1314	1524	942	755	495	1056	280	1051	819
ABT1P1	107	163	211	85	63	58	83	4	94	81	37	18	18	109	46	22	101	11	132	153
ABTB1	1597	1421	2229	1123	4253	1007	3011	5496	4132	2834	23584	4062	2867	2013	2680	7188	1377	1602	650	1326
ABTB2	673	1208	2209	810	147	920	423	1166	769	421	2226	1472	1373	808	99	296	445	91	887	189
AC000032.1	14	0	9	14	11	0	128	22	53	43	483	99	29	209	11	5	5	23	135	4
AC000035.1	2	0	2	53	8	0	11	0	0	9	10	3	5	23	0	3	4	0	0	2
AC000036.1	49	1	3	1	1	146	0	0	31	17	1	1	15	26	1	2	19	2	96	1
AC000041.1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC000050.2	5	3	1	0	4	19	8	1	32	10	19	0	25	12	3	0	28	1	108	13
AC000058.1	1	3	3	1	1	0	3	0	0	3	0	0	2	2	0	1	0	0	4	0
AC000061.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC000065.1	1335	1526	2996	1015	2219	636	800	97	223	566	94	629	412	2827	918	99	1141	431	865	437
AC000065.2	529	518	1072	332	638	173	254	20	74	257	49	184	135	978	241	32	375	92	315	126
AC000067.1	0	0	0	1	0	0	0	0	0	1	8	0	2	1	0	0	0	0	0	0
AC000068.1	222	60	86	98	36	364	70	15	373	242	282	310	199	127	114	145	264	25	110	120
AC000068.2	332	382	349	393	170	263	256	242	560	344	453	439	610	326	284	341	415	523	306	321
AC000068.3	447	209	148	241	153	508	185	100	554	443	249	302	374	108	312	322	313	339	191	255
AC000072.1	30	42	483	452	33	10	569	742	117	148	979	7	51	42	109	315	55	18	12	50
AC000077.1	0	0	1	1	0	0	0	0	2	0	2	1	3	1	0	0	0	0	0	0
AC000078.1	80	94	145	77	29	22	107	100	23	86	117	92	56	54	81	74	98	68	42	60
AC000081.1	0	0	2	3	2	0	4	5	0	3	3	0	1	0	3	20	0	0	0	0
AC000081.2	0	0	1	0	0	2	2	0	2	2	2	0	1	0	1	5	0	0	0	0
AC000082.1	0	15	6	20	8	3	11	1	4	3	10	2	3	17	1	3	7	7	5	6
AC000085.1	18	1	4	7	1	3	10	4	17	21	28	9	17	6	10	18	2	6	8	3
AC000089.1	42	54	89	58	45	86	92	54	34	41	109	41	129	55	25	9	42	77	21	40
AC000093.1	2	0	8	6	3	0	54	26	13	24	288	40	3	20	30	59	3	0	50	5
AC000095.1	71	15	12	20	1	11	14	1	12	7	63	79	13	6	11	44	27	11	8	16
AC000095.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC000113.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC000120.1	178	113	158	102	155	65	154	55	58	204	42	74	121	177	125	47	84	61	187	61
AC000120.2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	1
AC000120.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000123.1	216	98	117	123	50	132	60	29	62	106	48	127	106	135	59	53	81	26	83	80
AC000123.2	158	54	60	65	29	42	28	6	44	55	29	87	73	88	38	30	33	19	49	44
AC000123.3	1426	657	750	984	490	633	633	273	540	1143	442	1095	1285	1245	571	531	683	349	653	705
AC000124.1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	9	4	22	28	0	1	18	7	3	7	59	69	37	2	1	39	30	3	0	6
AC001226.1	12	5	6	11	4	8	21	10	14	15	22	43	27	10	13	15	13	6	9	12
AC001226.2	458	1606	1131	1210	1523	272	1343	388	365	672	706	1237	1025	1788	377	700	1618	845	804	1136
AC002044.1	1	2	3	3	5	0	6	0	12	1	8	2	10	4	3	0	21	31	7	9
AC002044.2	6	11	16	18	24	31	34	11	79	6	14	10	34	7	11	6	122	106	64	55
AC002044.3	1	3	3	2	12	13	16	0	30	1	8	5	15	9	4	3	62	38	25	35
AC002056.1	8	2	4	1	5	1	5	1	3	5	23	0	24	2	6	0	4	5	9	1
AC002056.2	29	0	0	2	1	88	0	0	13	3	0	0	11	1	0	0	6	0	64	4
AC002057.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002057.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.1	4	4	3	2	1	4	6	0	3	17	3	6	12	3	0	2	10	10	1	7
AC002059.2	9	0	1	2	0	0	4	4	2	4	1	1	4	2	2	4	9	5	2	4
AC002059.3	52	27	25	19	18	27	37	21	14	51	34	35	57	24	38	21	33	30	12	25
AC002064.1	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC002064.2	15	1	0	0	1	0	0	0	1	0	1	0	2	0	2	0	0	0	0	0
AC002064.3	6	5	8	7	2	22	3	0	5	41	17	9	4	0	9	4	7	1	5	6
AC002066.1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0
AC002069.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002069.2	0	2	1	0	0	2	1	0	1	0	0	3	2	3	0	0	1	1	1	0
AC002069.3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
AC002069.4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
AC002070.1	66	86	92	65	102	76	94	91	49	75	142	80	172	99	109	35	84	52	55	54
AC002072.1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0
AC002074.1	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
AC002074.2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
AC002075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.2	3	6	1	3	7	1	2	0	5	0	6	7	18	3	0	2	2	1	1	0
AC002076.1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
AC002090.1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0
AC002091.1	33	26	37	112	77	11	121	174	151	152	625	68	234	78	58	462	90	42	9	33
AC002091.2	47	33	38	99	72	12	122	121	163	130	930	141	263	62	61	490	112	47	5	45
AC002094.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.2	174	222	222	255	165	174	165	45	312	84	266	499	674	300	115	260	200	97	196	153
AC002094.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.4	32	9	19	19	1	42	12	4	27	5	9	29	53	12	15	13	18	7	3	7
AC002094.5	73	21	28	27	3	39	20	1	42	10	4	39	91	12	16	17	29	10	10	15
AC002101.1	2	1	1	0	1	0	0	0	1	1	0	0	0	2	1	0	1	0	1	0
AC002115.1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
AC002116.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.2	5	36	48	31	42	21	67	139	11	18	34	28	33	80	7	8	1146	43	46	199
AC002127.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.1	46	71	41	39	38	7	72	19	90	30	31	100	137	65	61	29	26	45	89	27
AC002128.2	11	6	2	5	7	7	4	3	45	6	4	34	56	6	3	14	5	6	35	3
AC002306.1	164	13	23	22	63	807	19	4	130	427	44	131	207	12	204	70	223	35	40	205
AC002310.1	100	132	160	136	115	12	92	76	29	47	97	93	72	277	20	23	98	65	47	47
AC002310.2	226	340	361	245	474	45	349	2676	114	145	304	137	205	627	192	56	376	879	552	200
AC002310.3	5	7	10	17	24	4	11	1	3	3	16	9	13	24	1	3	7	3	5	10
AC002310.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.5	255	90	112	53	61	43	82	53	39	22	58	23	106	93	36	21	65	45	71	40
AC002331.1	1	1	0	0	0	0	0	1	4	0	1	0	0	0	3	0	0	1	4	0
AC002347.1	53	6	22	16	17	2	19	14	9	7	10	10	19	22	11	0	17	8	7	6
AC002347.2	95	58	157	89	147	21	119	56	51	45	42	104	109	207	73	42	107	83	108	62
AC002350.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002350.2	92	119	165	158	156	37	158	162	57	95	145	122	137	133	96	68	123	176	87	80
AC002351.1	6	1	1	3	1	1	2	2	5	5	2	3	8	4	2	2	1	3	1	3
AC002368.1	0	1	0	2	1	0	1	0	0	6	13	0	4	2	8	1	1	0	3	2
AC002375.1	0	1	2	2	3	0	1	1	0	0	1	0	1	0	0	1	0	2	0	0
AC002377.1	13	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	1	0	0	0
AC002378.1	11	0	3	1	2	50	0	0	3	3	26	8	7	2	0	2	1	0	0	2
AC002381.1	37	44	40	30	17	42	41	14	34	57	10	15	14	42	45	14	37	18	34	62
AC002383.1	0	0	0	0	0	0	0	0	1	0	1	3	1	0	0	1	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.1	26	103	118	104	61	24	143	19	20	30	122	144	172	125	21	76	77	44	22	62
AC002398.2	1	1	5	15	0	0	6	0	5	11	10	2	12	2	7	2	4	4	8	2
AC002401.1	2517	1051	1143	928	363	536	1017	858	1353	452	2064	1171	1717	485	502	621	1130	1504	882	1082
AC002401.2	12	4	3	2	2	0	7	0	10	4	3	6	20	6	5	0	1	4	24	1
AC002401.3	15	5	5	3	0	5	1	3	12	8	1	14	12	3	8	1	2	4	22	1
AC002401.4	2	0	0	1	0	1	0	0	1	2	2	0	5	0	0	1	0	0	3	0
AC002407.1	0	0	4	0	1	1	3	0	3	1	0	8	2	0	1	1	0	0	9	0
AC002428.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002428.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
