	TARGET-20-PAUVBS	TARGET-20-PAUVGD	TARGET-20-PAUVXU	TARGET-20-PAUWCF	TARGET-20-PAUXLK	TARGET-20-PAUXNM	TARGET-20-PAUYDT	TARGET-20-PAVAGA	TARGET-20-PAVFYL	TARGET-20-PAVLKB	TARGET-20-PAVLWY	TARGET-20-PAVPKA	TARGET-20-PAVSWX	TARGET-20-PAWCAW	TARGET-20-PAWFZT	TARGET-20-PAWTWW	TARGET-20-PAWXZJ	TARGET-20-PAWYTW	TARGET-20-PAXGVH	TARGET-20-PAXJVE
AC010082.1	18	38	68	13	44	6	61	4	5	5	3	1	4	32	4	6	42	99	24	39
AC010086.1	0	0	1	5	2	0	0	0	2	0	0	20	1	4	0	5	0	0	0	0
AC010086.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010086.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010087.1	8	2	9	2	2	30	1	1	40	6	13	44	13	1	0	14	3	19	3	4
AC010092.1	0	2	3	6	1	15	0	0	0	1	1	1	1	7	1	0	0	0	1	1
AC010095.1	2	2	0	0	0	7	0	0	4	0	3	0	2	2	0	1	6	0	0	1
AC010096.1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0
AC010099.1	0	3	1	3	4	2	2	0	0	0	1	3	0	3	0	1	1	1	0	1
AC010099.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010105.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010132.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010132.2	135	336	125	297	207	102	170	63	257	318	88	448	213	187	346	193	278	117	170	302
AC010132.3	16	9	2	3	1	20	1	11	12	13	3	6	7	4	14	2	12	1	5	9
AC010132.4	6	9	17	14	17	34	4	9	9	25	24	27	10	31	2	31	5	0	11	10
AC010133.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010139.1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
AC010141.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010141.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010145.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC010145.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010148.1	17	3	6	3	2	0	5	0	5	3	3	7	3	1	4	1	3	1	2	3
AC010149.1	37	42	64	78	50	86	35	10	45	13	54	108	59	88	17	44	49	8	12	56
AC010149.2	0	0	0	3	0	0	0	0	1	0	0	1	0	1	1	0	1	2	0	1
AC010153.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010154.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010157.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010157.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010163.1	1	1	0	4	0	0	1	0	4	0	4	1	0	0	1	0	0	1	2	0
AC010163.2	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0
AC010163.3	2	4	1	3	1	0	2	0	1	3	0	1	0	1	0	0	1	0	0	1
AC010168.1	23	4	6	1	2	0	1	7	5	2	16	10	14	4	2	7	3	0	3	2
AC010168.2	195	94	87	63	40	66	92	71	93	81	155	513	348	59	89	125	136	66	66	74
AC010173.1	4	56	42	165	19	179	131	81	39	335	933	242	23	26	137	40	144	140	3	57
AC010175.1	4	21	3	5	1	0	2	8	1	2	4	25	5	17	0	5	2	5	4	0
AC010177.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010181.1	0	0	2	6	0	0	0	0	1	0	0	0	1	0	0	0	0	0	25	0
AC010181.2	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	1	7	0
AC010182.1	8	0	2	1	0	0	0	1	1	3	3	0	2	0	0	6	0	0	1	0
AC010183.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010183.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010184.1	37	5	10	7	1	1	7	3	7	2	12	9	23	3	3	11	3	1	3	5
AC010185.1	0	2	0	0	41	0	8	9	1	0	0	0	0	0	0	0	0	3	0	0
AC010186.1	11	13	49	16	3	9	14	4	5	4	15	10	11	39	5	2	10	6	11	6
AC010186.2	249	277	446	334	182	49	221	492	316	99	476	712	444	201	151	195	231	518	139	194
AC010186.3	1354	1086	2144	1778	546	80	1016	711	764	400	772	1926	1367	1297	691	1564	1142	1270	728	1041
AC010186.4	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
AC010196.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010197.1	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AC010197.2	15	3	3	9	8	0	6	19	5	2	3	1	3	5	7	0	0	4	6	2
AC010198.1	0	0	1	1	0	0	3	0	0	0	0	1	0	0	0	0	1	1	2	1
AC010198.2	9	2	7	8	14	32	23	1	2	3	4	4	31	3	9	6	4	3	66	1
AC010200.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010201.1	4	9	5	4	1	9	5	0	1	3	1	7	9	10	2	3	6	5	1	2
AC010201.2	12	21	9	9	13	26	15	4	3	6	10	12	8	28	7	5	13	5	9	6
AC010201.3	21	32	29	26	27	27	53	34	12	18	76	18	72	41	15	14	31	32	12	8
AC010202.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010203.1	268	60	26	19	36	65	51	259	40	56	110	158	127	115	67	55	18	57	78	20
AC010203.2	7	6	8	9	2	11	9	4	5	10	42	6	16	9	10	5	7	2	4	8
AC010205.1	0	1	0	1	2	1	3	0	1	6	1	5	1	0	1	3	0	0	0	1
AC010207.1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	19	0
AC010210.1	103	72	90	43	42	1	154	118	19	64	55	71	81	53	13	93	33	33	25	16
AC010223.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC010226.1	1389	1179	895	2227	698	639	1205	288	935	775	909	1273	2396	1048	1117	772	1519	622	737	1423
AC010230.1	28	0	94	130	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC010240.1	2	2	1	0	1	0	2	0	1	1	7	0	10	0	1	0	1	0	7	1
AC010240.2	413	506	422	836	318	1754	203	43	935	1937	801	572	479	276	473	927	1276	208	718	1241
AC010240.3	15	19	10	21	4	25	36	13	20	47	61	17	22	20	30	14	19	1	9	18
AC010245.1	72	128	183	220	118	77	225	44	69	110	98	309	197	308	198	96	113	156	147	108
AC010245.2	38	19	25	26	8	28	40	13	26	33	14	50	16	84	47	7	31	15	27	13
AC010247.1	13	16	90	48	6	16	41	33	33	15	46	49	40	5	38	18	49	43	7	50
AC010247.2	22	46	241	97	9	30	82	20	93	19	129	84	109	9	69	24	87	39	11	67
AC010251.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010255.1	0	2	5	1	0	0	2	0	0	1	3	0	1	3	0	0	1	0	4	1
AC010255.2	5	5	3	1	1	0	1	6	0	3	1	3	1	2	0	1	0	1	2	1
AC010260.1	68	90	127	316	90	44	211	63	239	179	445	892	561	188	209	138	286	412	43	221
AC010261.1	3	0	0	2	0	10	4	1	2	0	1	0	5	0	0	0	0	0	0	1
AC010261.2	1	1	2	3	9	0	5	7	13	5	5	4	16	1	0	8	1	2	1	5
AC010265.1	0	0	0	1	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	0
AC010266.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010266.2	2	1	0	0	1	0	0	1	0	0	16	0	2	0	0	1	0	0	0	0
AC010267.1	6	0	2	0	0	0	0	1	0	2	0	0	0	0	0	1	0	3	0	0
AC010271.1	28	106	63	63	34	49	188	44	134	169	50	38	91	29	179	37	46	78	39	64
AC010271.2	0	3	0	0	1	11	3	2	2	1	1	0	4	1	3	2	0	1	7	0
AC010273.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010273.2	226	304	344	346	296	55	359	151	148	86	241	336	277	701	102	146	473	150	238	171
AC010273.3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
AC010275.1	36	4	17	18	9	34	10	8	195	19	12	78	76	3	8	20	4	35	5	16
AC010280.1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC010280.2	1	4	2	5	5	0	5	2	0	7	7	8	14	2	1	2	0	4	0	3
AC010280.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC010285.1	57	74	131	45	178	296	66	28	180	77	25	29	37	173	213	26	116	160	244	44
AC010285.2	5	2	6	3	2	72	3	0	7	1	3	3	6	10	1	1	7	6	9	1
AC010285.3	303	1760	1588	1600	1359	1387	1330	351	1056	919	1757	592	1267	1754	893	835	1843	1019	1392	1183
